                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.422,                 3.3265,                 1.3933,                 0.0089,                0.93333,                0.11287,                0.06217,                0.83708,                  3.014,                 1.0016,              2.858e-05,              2.858e-05,              2.858e-05
                      1,                 1.4301,                 3.3249,                 1.4131,                0.00918,                0.95556,                0.16969,                0.10633,                0.83756,                 3.0004,                0.99574,             7.1426e-05,             7.1426e-05,             7.1426e-05
                      2,                 1.3211,                 3.1398,                 1.3525,                0.00878,                0.96667,                0.33152,                0.18762,                0.82588,                 2.9896,                0.97454,             0.00011424,             0.00011424,             0.00011424
                      3,                 1.1032,                 2.7436,                 1.2186,                0.00876,                0.98889,                0.40158,                0.23359,                0.90398,                 2.9659,                 1.0209,             0.00015703,             0.00015703,             0.00015703
                      4,                 1.0784,                 2.0734,                  1.177,                  0.009,                0.98889,                0.41369,                0.23195,                0.98883,                 2.9052,                 1.0933,              0.0001998,              0.0001998,              0.0001998
                      5,                 1.0044,                 1.6259,                 1.1536,                0.97614,                0.13008,                0.46636,                0.26626,                  1.002,                 2.8447,                 1.1405,             0.00024253,             0.00024253,             0.00024253
                      6,                 1.0525,                 1.6818,                 1.1728,                0.90791,                0.19363,                0.44931,                0.26246,                 1.0944,                 2.9096,                 1.2434,             0.00028523,             0.00028523,             0.00028523
                      7,                 1.0056,                 1.5219,                 1.1324,                0.29404,                0.64996,                0.34259,                0.16344,                 1.1803,                 3.0805,                 1.3614,             0.00032791,             0.00032791,             0.00032791
                      8,                0.96632,                 1.4665,                 1.1146,                0.67827,                0.14869,                0.38991,                0.17291,                 1.3641,                 3.1628,                 1.5248,             0.00037056,             0.00037056,             0.00037056
                      9,                0.98515,                 1.3204,                 1.1252,                0.93643,                0.07065,                0.42664,                0.22637,                 1.3515,                 3.0122,                 1.5239,             0.00041318,             0.00041318,             0.00041318
                     10,                0.96685,                 1.3029,                 1.1164,                      1,                0.06077,                0.48307,                0.25309,                 1.3383,                 2.9373,                 1.4276,             0.00045577,             0.00045577,             0.00045577
                     11,                0.90023,                 1.2822,                 1.0804,                0.90169,                0.07358,                0.56931,                0.31158,                 1.3077,                   2.79,                 1.4081,             0.00049833,             0.00049833,             0.00049833
                     12,                0.89975,                 1.3102,                 1.1159,                 0.8857,                0.22525,                0.57625,                0.30992,                 1.3229,                 2.7149,                    1.4,             0.00054087,             0.00054087,             0.00054087
                     13,                0.90754,                 1.1986,                 1.1165,                0.85091,                0.24051,                0.62057,                0.35162,                 1.1762,                 2.6281,                 1.2533,             0.00058338,             0.00058338,             0.00058338
                     14,                0.90143,                 1.2006,                 1.0995,                0.87967,                0.24615,                0.60164,                0.34789,                  1.198,                 2.4479,                  1.235,             0.00062586,             0.00062586,             0.00062586
                     15,                0.87105,                 1.2287,                   1.08,                0.87072,                0.29139,                0.65955,                0.38948,                 1.2161,                   2.46,                 1.2714,             0.00066831,             0.00066831,             0.00066831
                     16,                0.86147,                 1.1586,                 1.0711,                0.71507,                 0.2839,                0.58911,                0.32556,                 1.3077,                 2.3823,                 1.3537,             0.00071073,             0.00071073,             0.00071073
                     17,                0.92325,                 1.1345,                 1.1246,                0.67947,                0.36473,                0.61741,                  0.341,                  1.281,                 2.4878,                 1.4109,             0.00075312,             0.00075312,             0.00075312
                     18,                0.86995,                 1.1064,                 1.0939,                0.73419,                0.41247,                0.61903,                0.32083,                 1.3175,                 2.5235,                 1.4348,             0.00079549,             0.00079549,             0.00079549
                     19,                0.88244,                 1.0413,                 1.0506,                0.74168,                0.58519,                 0.6776,                0.34007,                 1.3134,                 2.2791,                 1.4059,             0.00083782,             0.00083782,             0.00083782
                     20,                0.80021,                 1.0259,                  1.058,                0.69068,                0.61111,                0.66157,                0.35439,                 1.3546,                 2.1096,                 1.4187,             0.00088013,             0.00088013,             0.00088013
                     21,                0.84943,                 1.0371,                 1.0557,                 0.7155,                0.55748,                0.70888,                0.40817,                 1.3939,                 2.0509,                 1.4998,             0.00092241,             0.00092241,             0.00092241
                     22,                0.82455,                 1.0182,                 1.0451,                0.74373,                0.62305,                0.76812,                0.43603,                 1.3532,                 1.9958,                 1.4508,             0.00096467,             0.00096467,             0.00096467
                     23,                0.76365,                 1.0027,                 1.0359,                0.79997,                  0.681,                0.77285,                0.42209,                 1.4377,                 1.8602,                 1.5574,              0.0010069,              0.0010069,              0.0010069
                     24,                0.88688,                 1.0233,                 1.0915,                 0.7864,                0.63796,                0.73246,                0.41165,                 1.4337,                 1.7723,                  1.498,              0.0010491,              0.0010491,              0.0010491
                     25,                0.89695,                 1.0489,                 1.0822,                0.62596,                0.72222,                0.70168,                0.42311,                 1.3243,                 1.7374,                 1.4256,              0.0010913,              0.0010913,              0.0010913
                     26,                0.80299,                0.96866,                 1.0412,                0.77106,                0.57284,                0.67256,                0.38603,                 1.4062,                 1.7265,                 1.5137,              0.0011334,              0.0011334,              0.0011334
                     27,                0.78488,                0.97987,                 1.0303,                 0.5608,                0.55655,                 0.6145,                0.31161,                 1.5916,                 1.9639,                  1.778,              0.0011755,              0.0011755,              0.0011755
                     28,                0.84559,                 1.0007,                 1.0956,                0.53847,                  0.583,                0.63817,                0.33163,                 1.4996,                 1.8768,                 1.6728,              0.0012176,              0.0012176,              0.0012176
                     29,                0.82132,                0.99112,                 1.0368,                0.67082,                 0.5505,                0.60275,                0.33456,                 1.5507,                 2.1305,                 1.6897,              0.0012596,              0.0012596,              0.0012596
                     30,                0.79396,                0.94538,                 1.0332,                0.73756,                0.53956,                0.67996,                0.31905,                 1.7024,                 1.9888,                 1.7907,              0.0013017,              0.0013017,              0.0013017
                     31,                0.75365,                0.89473,                 1.0336,                0.63065,                0.60386,                0.64647,                 0.3118,                 1.6649,                 1.8992,                 1.7155,              0.0013437,              0.0013437,              0.0013437
                     32,                0.88842,                0.96093,                  1.131,                 0.6675,                0.63108,                0.69688,                0.28151,                 1.7855,                 2.2122,                 1.7595,              0.0013856,              0.0013856,              0.0013856
                     33,                 0.8276,                 0.9317,                 1.0457,                0.69595,                0.62472,                0.70293,                0.36929,                  1.434,                 2.0043,                 1.5457,              0.0014134,              0.0014134,              0.0014134
                     34,                 0.8433,                0.95796,                 1.0968,                0.69081,                0.62143,                0.73796,                0.38111,                 1.4398,                 1.8826,                 1.5486,              0.0014134,              0.0014134,              0.0014134
                     35,                0.82587,                0.94938,                 1.0509,                0.71122,                0.60529,                0.73975,                0.43439,                 1.3899,                 1.7703,                 1.5597,               0.001413,               0.001413,               0.001413
